,Stories,beds,baths,floor_space,price,Zip Code,Cooling System,Days on Market,Year Built,Property Type,Price Per Sqft,Units in Building,HOA Fee,Lot Area,Parking Spaces,Parking,Basement,Number of Rooms,Number of Bedrooms,Number of Bathrooms,Number of Bathrooms (full),Living Area,Heating,Air Conditioning,Heating Fuel,Common Walls,Number of Garage Spaces,Sewer,Year Renovated,Property Subtype,Architecture,Construction Materials,Parcel Number,List Price,MLS Status,City,Elementary School,Elementary School District,Jr High / Middle School,Jr High / Middle School District,High School,High School District,MLS/Source ID,Community Features,Year Updated,Utilities,Community,Ownership,Appliances,Laundry,Included in Sale,HOA Fee Includes,Attic,HOA Amenities,Accessibility,Flooring,Floors,Types of Rooms,Number of Bathrooms (half),Electric,Levels,Security,Fencing,Condition,Building Area,Listing Agreement Type,"<a href=""http",Water View,Other Structures,Patio / Porch,"<a href=""https",Roof,Foundation,Building,Special Conditions,View,Responsible for Road Maintenance,Tenant Pays,Exterior,Structure Type,Number of Bathrooms (three quarters),Pool,Builder Model,Not Included in Sale,Number of Stories,Window,Number of Fireplaces,Waterfront,Price Range,Foundation Area,Listing Url,Number Of Vacant Units,Building Name,HOA Name,HOA Phone,Parking Space,Spa,Door,HOA Fee (second),HOA Fee Frequency (second),Finished Area (above surface),Finished Area (below surface),Listing Terms,Buyer Agency Commission,Buyer Agency Commission Type,Fireplace,Owner Pays,Energy Efficiency Features,Off Market Date
10, 2,3.0,2.0,1430.0,"739,000",10314,, &lt;1 Day on Trulia, 1920, Residential, $517,,,3600, 1," Detached,Garage,Off Street", Full, 5, 3, 2, 1, 1430 Square Feet," Hot Water,Natural Gas", Units, Hot Water,, 1, Public Sewer,, Single Family - Detached, Colonial,, 00362-0040," $739,000", Active, Staten Island,,,,,,, 1158960,,,,,," Dishwasher, Refrigerator",,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 110, 2.0, Security System, Fenced," Existing, Excellent", 1430 Square Feet, Exclusive Right To Sell,"//gatewayarmsrealty.com"" rel=""nofollow noreferrer"" target=""_blank"">Listing Url</a>", None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11, 2,3.0,2.0,1092.0,"689,000",10306,, &lt;1 Day on Trulia, 1950, Residential, $631,,,4000,," No Garage,Carport", Full, 5, 3, 2, 2, 1092 Square Feet," Steam,Natural Gas", Units, Steam,,, Public Sewer, 2019, Single Family - Detached, Cape,, 03640-0050," $689,000", Active, Staten Island,,,,,,, 1158961,,,,,," Indoor Grill, Refrigerator",,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room",, 220 Volts, 2.0,, Fenced," Existing, Good", 1092 Square Feet, Exclusive Right To Sell,, None, Shed(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 2,3.0,3.0,3060.0,"1,250,000",10307,, &lt;1 Day on Trulia, 1945, Residential, $408,,,16552.8, 1," Detached,Garage,Off Street,On Street", Partial, 5, 3, 3, 2, 3060 Square Feet," Hot Water,Natural Gas,Fireplace(s)", None, Hot Water,, 1, Public Sewer,, Two Family - Detached, Colonial, Stucco, 08045-0001," $1,250,000", Active, Staten Island,,,,,,, 1158963,,,,,,,,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 220 Volts, 2.0, Security System, Fenced," Existing, Poor", 3060 Square Feet, Exclusive Right To Sell,, None,, Patio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 2,6.0,3.0,3100.0,"1,225,000",11223,, &lt;1 Day on Trulia, 1931, Apartment, $395, 1,,871200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1.0,1.0,,"450,000",10022,, &lt;1 Day on Trulia, 1960, Coop, $600, 188," $1,146/Monthly",,, Garage Detached,, 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hardwood,,,,,,,,,,,,,,"//youtube.com/watch?v=Sp-VNxqpDO0"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,2.0,2.0,1085.0,"1,200,000",11201, Central, &lt;1 Day on Trulia,, Condo," $1,106",," $1,100/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22147504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,2.0,2.0,,"1,595,000",11201, Central, &lt;1 Day on Trulia, 1849, Coop,, 14," $1,504/Monthly",,,,, 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//youtube.com/watch?v=knhvkKUUYII"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 2,3.0,2.0,1439.0,"880,000",11361,, &lt;1 Day on Trulia, 1950, Single Family Home, $612, 1,,2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,2.0,2.0,,"725,000",10039,, &lt;1 Day on Trulia, 2003, Coop, $778, 128," $1,125/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,1.0,1.0,,"450,000",10022,, &lt;1 Day on Trulia, 1960, Coop, $600, 188," $1,146/Monthly",,, Garage Detached,, 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hardwood,,,,,,,,,,,,,,"//youtube.com/watch?v=Sp-VNxqpDO0"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,6.0,4.0,,"1,199,999",11434,, &lt;1 Day on Trulia, 1940, Condo,, 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2.0,2.0,1085.0,"1,200,000",11201, Central, &lt;1 Day on Trulia,, Condo," $1,106",," $1,100/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22147504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22, 2,3.0,3.0,2100.0,"1,050,000",11235,, &lt;1 Day on Trulia, 1940, Single Family Home, $500, 1,,2000,, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23, 3,10.0,6.0,3875.0,"1,350,000",11234,, &lt;1 Day on Trulia, 1974, Multi Family, $348, 3,,3583,, Carport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2.0,2.0,,"1,595,000",11201, Central, &lt;1 Day on Trulia, 1849, Coop,, 14," $1,504/Monthly",,,,, 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//youtube.com/watch?v=knhvkKUUYII"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25, 3,13.0,11.0,13924.0,"4,999,000",11204, Central, 180+ Days on Trulia, 2015, Apartment, $359, 6,,5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,3.0,4960.0,"899,000",11212,, &lt;1 Day on Trulia,, Residential, $181, 3,,2000,," Street,None", Full,,, 3,, 4960 Square Feet," Natural Gas,Steam/Radiator",, Natural Gas,,,,, Mixed Use,, Brick,," $899,000", Active, Brooklyn,,,,,,, 469345,,,, Brooklyn,, Gas Water Heater,,,,,,, Hardwood, Hardwood,, 3, Other,,,,, 4960 Square Feet,,,,,,, Flat, Concrete Perimeter, None, Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27, 3,,4.0,6324.0,"4,225,888",11223,, &lt;1 Day on Trulia,, Residential, $668, 7,,2200,, None, Finished,,, 4,, 6324 Square Feet," Natural Gas,Hot Water",, Natural Gas,,,,, Mixed Use,, Brick,," $4,225,888", Active, Brooklyn,,,,,,, 469344,,,, Brooklyn,, Gas Water Heater,,,,,,," Ceramic Tile, Granite"," Ceramic Tile, Granite",, 4," 200 Amp, 220 Volts",,, Fence - Full,, 6324 Square Feet,,,,,,, Other, Other, None, Arm's Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28, 16,1.0,1.0,,"168,000",10468,, &lt;1 Day on Trulia, 2007, Coop,, 1119, $938/Monthly,355014.0, 162, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29, 23,1.0,1.0,,"279,000",11224,, &lt;1 Day on Trulia, 1964, Coop, $372, 572, $679/Monthly,189050.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30, 2,3.0,2.0,1464.0,"799,000",11365,, &lt;1 Day on Trulia, 1940, Single Family Home, $546, 1,,1800,, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31, 2,3.0,2.0,1430.0,"739,000",10314,, &lt;1 Day on Trulia, 1920, Residential, $517,,,3600, 1," Detached,Garage,Off Street", Full, 5, 3, 2, 1, 1430 Square Feet," Hot Water,Natural Gas", Units, Hot Water,, 1, Public Sewer,, Single Family - Detached, Colonial,, 00362-0040," $739,000", Active, Staten Island,,,,,,, 1158960,,,,,," Dishwasher, Refrigerator",,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 110, 2.0, Security System, Fenced," Existing, Excellent", 1430 Square Feet, Exclusive Right To Sell,"//gatewayarmsrealty.com"" rel=""nofollow noreferrer"" target=""_blank"">Listing Url</a>", None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32, 2,3.0,2.0,1092.0,"689,000",10306,, &lt;1 Day on Trulia, 1950, Residential, $631,,,4000,," No Garage,Carport", Full, 5, 3, 2, 2, 1092 Square Feet," Steam,Natural Gas", Units, Steam,,, Public Sewer, 2019, Single Family - Detached, Cape,, 03640-0050," $689,000", Active, Staten Island,,,,,,, 1158961,,,,,," Indoor Grill, Refrigerator",,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room",, 220 Volts, 2.0,, Fenced," Existing, Good", 1092 Square Feet, Exclusive Right To Sell,, None, Shed(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33, 3,2.0,2.0,1520.0,"524,999",10309,, &lt;1 Day on Trulia, 1989, Residential, $345,,,1550, 1," Built-in,Garage,Off Street", None, 5, 2, 2, 2, 1520 Square Feet," Forced Air,Natural Gas", Central Air, Forced Air,, 1, Public Sewer,, Single Family - Attached, Colonial,, 7085-49," $524,999", Active, Staten Island,,,,,,, 1158964,,,,,," Dishwasher, Dryer, Microwave, Refrigerator, Washer",,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room",, 220 Volts, 3.0, Security System,," Existing, Excellent", 1520 Square Feet, Exclusive Right To Sell,, None,, Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34, 2,3.0,3.0,3060.0,"1,250,000",10307,, &lt;1 Day on Trulia, 1945, Residential, $408,,,16552.8, 1," Detached,Garage,Off Street,On Street", Partial, 5, 3, 3, 2, 3060 Square Feet," Hot Water,Natural Gas,Fireplace(s)", None, Hot Water,, 1, Public Sewer,, Two Family - Detached, Colonial, Stucco, 08045-0001," $1,250,000", Active, Staten Island,,,,,,, 1158963,,,,,,,,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 220 Volts, 2.0, Security System, Fenced," Existing, Poor", 3060 Square Feet, Exclusive Right To Sell,, None,, Patio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,3.0,2.0,4500.0,"2,695,000",11230, Central, &lt;1 Day on Trulia, 2017, Condo, $599, 12, $300/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36, 2,3.0,2.0,1439.0,"880,000",11361,, &lt;1 Day on Trulia, 1950, Single Family Home, $612, 1,,2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,2.0,3.0,1640.0,"2,370,000",10016,, &lt;1 Day on Trulia, 2019, Condo," $1,445", 148," $2,396/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,4.0,4.0,2519.0,"4,900,000",11222, Central, &lt;1 Day on Trulia, 1915, Condo," $1,945", 2," $1,466/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,11.0,6.0,3660.0,"1,798,000",11103,, &lt;1 Day on Trulia, 1928, Multi Family, $491, 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10391201016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,2.0,2.0,,"725,000",10039,, &lt;1 Day on Trulia, 2003, Coop, $778, 128," $1,125/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,2.0,1.0,1000.0,"289,000",11235,, &lt;1 Day on Trulia, 1956, Coop, $289, 66, $940/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42, 2,6.0,4.0,2424.0,"1,999,000",11220,, &lt;1 Day on Trulia, 1908, Multi Family, $825, 4,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43, 2,4.0,3.0,,"948,000",11379,, 41, 1935, Residential Income,,,,2000, 1," Shared Driveway,Common"," Finished,Full,Walk-Out Access", 7, 4, 3, 2,," Natural Gas,Steam", Central Air, Natural Gas, 2+ Common Walls,, Public Sewer, 2020, Multi Family, Duplex, Brick, 02995-0033," $948,000", A, Middle Village, Ps 49 Dorothy Bonawit Kole, Queens 24, Ps 49 Dorothy Bonawit Kole, Queens 24, Newtown High School, Queens 24, 3437985," Park, Near Public Transportation",, Public Garbage Removal,,," Oven, Refrigerator",," A/C Units, Light Fixtures, Refrigerator, Second Stove",,,,, Hardwood, Hardwood,, 1,, Two,,, Mint,,,,,,,,,,,, Other, Public Maintained Road," Cooking Gas, Electricity, Heat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44, 2,4.0,2.0,2000.0,"559,000",11423,, &lt;1 Day on Trulia, 1940, Single Family Home, $280, 1,,2000,, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, 6,1.0,1.0,,"595,000",11355,, &lt;1 Day on Trulia, 1960, Apartment, $878, 200,,50093.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,2.0,2.0,,"2,000,000",10065,, &lt;1 Day on Trulia, 1908, Coop,, 56," $4,766/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47, 2,6.0,3.0,3100.0,"1,225,000",11223,, &lt;1 Day on Trulia, 1931, Apartment, $395, 1,,871200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,1.0,,"525,000",10022,, &lt;1 Day on Trulia, 1970, Coop,, 161," $1,223/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,3.0,3.0,,"1,800,000",10022,, &lt;1 Day on Trulia, 1908, Coop,, 62," $4,129/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50, 7,2.0,2.0,1110.0,"760,000",11235, Central, &lt;1 Day on Trulia, 2000, Condo, $685, 104, $435/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, 30,1.0,1.0,,"899,000",11249, Other, &lt;1 Day on Trulia, 2008, Condo," $1,766", 360, $610/Monthly,77972.40000000001,, Garage Attached,,,,,,, Forced Air,, Forced Air,,,,,, Contemporary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Cement Concrete, Metal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,3.0,2.0,1200.0,"475,000",10473,, &lt;1 Day on Trulia, 1962, Coop, $396, 225, $795/Monthly,,, Garage Detached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,1.0,1.0,,"760,000",10027,, &lt;1 Day on Trulia, 2022, Condo," $1,324", 12, $575/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,1.0,2.0,,"2,580,000",10019, Central, &lt;1 Day on Trulia, 1907, Condo," $2,860", 163," $10,998/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55, 1,2.0,2.0,2160.0,"699,000",11234,, &lt;1 Day on Trulia, 1930, Single Family Home, $324, 1,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56, 1,5.0,2.0,1440.0,"1,500,000",11433,, &lt;1 Day on Trulia, 1901, Single Family Home," $1,042", 1,,4000,, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57, 12,5.0,4.0,71880.0,"5,797,000",10024, Central, 1 Day on Trulia, 1912, Coop, $81, 48," $7,036/Monthly",7662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58, 6,2.0,1.0,261776.0,"358,000",11354,, 7 Days on Trulia, 1952, Coop, $1, 252, $692/Monthly,226512.0, 63, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
